date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2025-06-10T00:00:00.000Z,326.09,327.83,310.667,314.94,151256520,326.09,327.83,310.667,314.94,151256520,0.0,1.0
2025-06-11T00:00:00.000Z,326.43,335.5,322.5,334.395,122611360,326.43,335.5,322.5,334.395,122611360,0.0,1.0
2025-06-12T00:00:00.000Z,319.11,332.56,316.86,323.075,105127536,319.11,332.56,316.86,323.075,105127536,0.0,1.0
2025-06-13T00:00:00.000Z,325.31,332.99,313.3,313.97,128964279,325.31,332.99,313.3,313.97,128964279,0.0,1.0
2025-06-16T00:00:00.000Z,329.13,332.05,326.41,331.29,83925858,329.13,332.05,326.41,331.29,83925858,0.0,1.0
2025-06-17T00:00:00.000Z,316.35,327.26,314.74,326.09,88282669,316.35,327.26,314.74,326.09,88282669,0.0,1.0
2025-06-18T00:00:00.000Z,322.05,329.32,315.45,317.31,95137686,322.05,329.32,315.45,317.31,95137686,0.0,1.0
2025-06-20T00:00:00.000Z,322.16,332.36,317.78,327.95,108688008,322.16,332.36,317.78,327.95,108688008,0.0,1.0
2025-06-23T00:00:00.000Z,348.68,357.54,327.48,327.54,190716815,348.68,357.54,327.48,327.54,190716815,0.0,1.0
2025-06-24T00:00:00.000Z,340.47,356.26,340.44,356.17,114736245,340.47,356.26,340.44,356.17,114736245,0.0,1.0
2025-06-25T00:00:00.000Z,327.55,343.0,320.4,342.7,119845050,327.55,343.0,320.4,342.7,119845050,0.0,1.0
2025-06-26T00:00:00.000Z,325.78,331.05,323.61,324.61,80440907,325.78,331.05,323.61,324.61,80440907,0.0,1.0
2025-06-27T00:00:00.000Z,323.63,329.3393,317.495,324.51,89067049,323.63,329.3393,317.495,324.51,89067049,0.0,1.0
2025-06-30T00:00:00.000Z,317.66,325.5799,316.6,319.9,76695081,317.66,325.5799,316.6,319.9,76695081,0.0,1.0
2025-07-01T00:00:00.000Z,300.71,305.89,293.21,298.46,145085665,300.71,305.89,293.21,298.46,145085665,0.0,1.0
2025-07-02T00:00:00.000Z,315.65,316.832,303.82,312.63,119483730,315.65,316.832,303.82,312.63,119483730,0.0,1.0
2025-07-03T00:00:00.000Z,315.35,318.45,312.76,317.99,58042302,315.35,318.45,312.76,317.99,58042302,0.0,1.0
2025-07-07T00:00:00.000Z,293.94,296.15,288.7701,291.37,131177949,293.94,296.15,288.7701,291.37,131177949,0.0,1.0
2025-07-08T00:00:00.000Z,297.81,304.0499,294.35,297.0,103246742,297.81,304.0499,294.35,297.0,103246742,0.0,1.0
2025-07-09T00:00:00.000Z,295.88,300.15,293.55,297.55,75586771,295.88,300.15,293.55,297.55,75586771,0.0,1.0
